image,link,title
/static/portals/free-to-use/public-domain/glasses/1.jpg,/resource/cph.3c39530/,The latest in eye shields--for desert warfare...
/static/portals/free-to-use/public-domain/glasses/2.jpg,/resource/fsac.1a35216,"Tank driver, Ft. Knox, Ky."
/static/portals/free-to-use/public-domain/glasses/3.jpg,/resource/mss21451.mss21451-008_00005_00333/?sp=328,Letter from Ben Franklin to George Whatley. Franklin is credited with inventing bifocal glasses...
/static/portals/free-to-use/public-domain/glasses/4.jpg,/item/mtjbib000882/,"Thomas Jefferson to James Madison, March 1784, Spectacles to Be Ordered from Benjamin Dudley"
/static/portals/free-to-use/public-domain/glasses/5.jpg,/item/98517852/,Save your eyes - use your goggles
/static/portals/free-to-use/public-domain/glasses/6.jpg,/resource/fsa.8d18143/,"Bethlehem-Fairfield shipyards, Baltimore, Maryland. A group of workers with their safety goggles"
/static/portals/free-to-use/public-domain/glasses/8.jpg,/resource/ppprs.00588/,"Katharine Wright, wearing a leather jacket, cap, and goggles, aboard the Wright Model HS airplane with Orville, 1915"
/static/portals/free-to-use/public-domain/glasses/9.jpg,/resource/ppmsca.44583/,Girl with eyeglasses in rocking chair knitting
/static/portals/free-to-use/public-domain/glasses/27.jpg,/resource/gottlieb.03141.0,"Portrait of Dizzy Gillespie, New York, N.Y., ca. May 1947"
/static/portals/free-to-use/public-domain/glasses/10.jpg,/resource/highsm.04716/,Goggles carried by Lincoln's bodyguards during his train ride through Baltimore...
/static/portals/free-to-use/public-domain/glasses/11.jpg,/resource/ppmsca.36941/,"Unidentified soldier in Union uniform with dual revolvers and sword, wearing eyeglasses"
/static/portals/free-to-use/public-domain/glasses/20.jpg,/resource/mnwp.275019/,"Dr. Mary Parsons, 1st woman physician to practice medicine south of Mason-Dixon Line."
/static/portals/free-to-use/public-domain/glasses/12.jpg,/resource/var.0680/,Silver spur
/static/portals/free-to-use/public-domain/glasses/13.jpg,/resource/cph.3g08743/,Japanese woman wearing wire spectacles
/static/portals/free-to-use/public-domain/glasses/14.jpg,/item/03028558/,"Tales of an optician; a collection of true stories of romance, adventure, comedy,"
/static/portals/free-to-use/public-domain/glasses/15.jpg,/item/12032563/,The magic spectacles.
/static/portals/free-to-use/public-domain/glasses/16.jpg,/item/mss1863002449/,"Walt Whitman Papers...Memorabilia, undated; Spectacles"
/static/portals/free-to-use/public-domain/glasses/17.jpg,/resource/cph.3g12547/,Minister wearing spectacles
/static/portals/free-to-use/public-domain/glasses/18.jpg,/resource/cph.3b22589/,"Lillian Russell, 1861-1922"
/static/portals/free-to-use/public-domain/glasses/19.jpg,/resource/cph.3g06458/,The OP spectacles / Cruikshank del.
/static/portals/free-to-use/public-domain/glasses/21.jpg,/resource/cph.3b19338/,Dr. Hafner's frame-fitting chart
/static/portals/free-to-use/public-domain/glasses/22.jpg,/resource/ppmsca.18944/,St. Jerome beside a pollard willow / Rembrandt 1648...Patron saint of libraries and scholars...
/static/portals/free-to-use/public-domain/glasses/23.jpg,/resource/ppmsca.52069/,"Sojourner Truth seated with photo of grandson, James Caldwell of Co. H, 54th Mass. Infantry Regiment...1863"
/static/portals/free-to-use/public-domain/glasses/7.jpg,/resource/cph.3b16304/,"Charles Lindbergh, wearing helmet with goggles up, in open cockpit of airplane at Lambert Field, St. Louis, Missouri"
/static/portals/free-to-use/public-domain/glasses/24.jpg,/resource/ppmsca.35640/,"Theodore Roosevelt. Photo by Baker's Art Gallery, 1918"
/static/portals/free-to-use/public-domain/glasses/25.jpg,/resource/ppmsca.18466/,"Casey Stengel wearing sunglasses, while playing outfield for the Brooklyn Dodgers..1915"
/static/portals/free-to-use/public-domain/glasses/26.jpg,/resource/ds.01027/,"Ann Bonfoey Taylor...wearing a ski outfit...Photo by Toni Frissell, 1967"
/static/portals/free-to-use/public-domain/glasses/28.jpg,/resource/ppmsca.25753/,Goggles have their uses / Ehrhart.
/static/portals/free-to-use/public-domain/glasses/29.jpg,/resource/fsa.8b06149/,This bench job requires goggles and gloves for protection...
/static/portals/free-to-use/public-domain/glasses/30.jpg,/resource/fsa.8c08685/,Laborer wearing goggles as protection against the fumes and vapors...at the South Puerto Rico Sugar Company
/static/portals/free-to-use/public-domain/glasses/31.jpg,/resource/fsa.8d18009/,"Bell Aircraft Corporation, Niagara Falls, New York. Safety goggles and masks are worn by workers..."
/static/portals/free-to-use/public-domain/glasses/32.jpg,/resource/anrc.09986/,"Lieut. Walter Chalaire of New York...was hit in an air fight at 12,000 feet...Another bullet hit Chalaire's goggles a glancing blow..."
/static/portals/free-to-use/public-domain/glasses/33.jpg,/resource/jpd.02899/,Horn-rimmed spectacles - telescope
/static/portals/free-to-use/public-domain/glasses/34.jpg,/resource/ppmsca.58224/,Ruth Bader Ginsburg at her Supreme Court nomination hearing with the Senate Judiciary Committee...
